,Method_name,Sum_of_avg_across_patients
1,Af,29.895
2,AS,28.735
3,BCohF,43.92
4,BCohW,0
5,BCorrD,38.58
6,BCorrU,43
7,BH2D,34.505
8,BH2U,41.7866666666667
9,BMITD1,36.84
10,BMITD2,37.005
11,BMITU,39.88
12,BTED,31.615
13,BTEU,33.18
14,COH1,44.3666666666667
15,COH2,42.4066666666667
16,DC1,32.43
17,dDTF,36.825
18,DTF,30.415
19,ffDTF,30.29
20,Genie,38.105
21,GGC,25.755
22,GPDC,31.03
23,hmvar,29.565
24,MVAR,28.95
25,oPDCF,29.625
26,pCOH1,45.88
27,pCOH2,45.88
28,PCohF,48.2666666666667
29,PCohW,0
30,PCorrD,40.75
31,PCorrU,45.8266666666667
32,PDC,29.335
33,PH2D,33.52
34,PH2U,40.6466666666667
35,PMITD1,38.825
36,PMITD2,38.92
37,PMITU,42.82
38,PTED,32.495
39,PTEU,32.725
40,Smvar,35.3533333333333
41,Tigress,44.695
