,Method_name,Sum_of_avg_across_patients
1,Af,37.1025
2,AS,37.566
3,BCohF,43.416
4,BCohW,0
5,BCorrD,41.0255
6,BCorrU,42.816
7,BH2D,38.505
8,BH2U,39.508
9,BMITD1,37.814
10,BMITD2,37.797
11,BMITU,34.636
12,BTED,38.3715
13,BTEU,38.7325
14,COH1,41.046
15,COH2,38.484
16,DC1,37.569
17,dDTF,38.908
18,DTF,37.1175
19,ffDTF,37.261
20,Genie,40.579
21,GGC,36.3465
22,GPDC,37.33
23,hmvar,37.022
24,MVAR,37.473
25,oPDCF,36.8275
26,pCOH1,40.4
27,pCOH2,40.4
28,PCohF,44.688
29,PCohW,0
30,PCorrD,41.7315
31,PCorrU,38.04
32,PDC,36.8675
33,PH2D,38.407
34,PH2U,37.076
35,PMITD1,38.334
36,PMITD2,38.213
37,PMITU,35.102
38,PTED,38.346
39,PTEU,38.7255
40,Smvar,39.286
41,Tigress,45.05
