,Method_name,Sum_of_avg_across_patients
1,Af,34.9575
2,AS,35.57
3,BCohF,43.56
4,BCohW,0
5,BCorrD,40.5625
6,BCorrU,43.04
7,BH2D,36.895
8,BH2U,39.3933333333333
9,BMITD1,36.01
10,BMITD2,35.955
11,BMITU,34.26
12,BTED,36.5925
13,BTEU,37.0875
14,COH1,41.05
15,COH2,38.22
16,DC1,35.495
17,dDTF,37.54
18,DTF,34.9825
19,ffDTF,35.195
20,Genie,40.085
21,GGC,33.7775
22,GPDC,35.31
23,hmvar,34.77
24,MVAR,35.415
25,oPDCF,34.6325
26,pCOH1,40.2933333333333
27,pCOH2,40.2933333333333
28,PCohF,44.7733333333333
29,PCohW,0
30,PCorrD,41.4725
31,PCorrU,37.8533333333333
32,PDC,34.6725
33,PH2D,36.865
34,PH2U,36.8866666666667
35,PMITD1,36.61
36,PMITD2,36.435
37,PMITU,34.6633333333333
38,PTED,36.63
39,PTEU,37.1025
40,Smvar,39.1833333333333
41,Tigress,45.11
