,Method_name,Sum_of_avg_across_patients
1,Af,40.32
2,AS,40.56
3,BCohF,43.2
4,BCohW,0
5,BCorrD,41.72
6,BCorrU,42.48
7,BH2D,40.92
8,BH2U,39.68
9,BMITD1,40.52
10,BMITD2,40.56
11,BMITU,35.2
12,BTED,41.04
13,BTEU,41.2
14,COH1,41.04
15,COH2,38.88
16,DC1,40.68
17,dDTF,40.96
18,DTF,40.32
19,ffDTF,40.36
20,Genie,41.32
21,GGC,40.2
22,GPDC,40.36
23,hmvar,40.4
24,MVAR,40.56
25,oPDCF,40.12
26,pCOH1,40.56
27,pCOH2,40.56
28,PCohF,44.56
29,PCohW,0
30,PCorrD,42.12
31,PCorrU,38.32
32,PDC,40.16
33,PH2D,40.72
34,PH2U,37.36
35,PMITD1,40.92
36,PMITD2,40.88
37,PMITU,35.76
38,PTED,40.92
39,PTEU,41.16
40,Smvar,39.44
41,Tigress,44.96
