,Method_name,Sum_of_avg_across_patients
1,Af,40.72
2,AS,41.16
3,BCohF,49.6
4,BCohW,0
5,BCorrD,42.12
6,BCorrU,49.12
7,BH2D,40.8
8,BH2U,41.6
9,BMITD1,40.32
10,BMITD2,40.56
11,BMITU,34.72
12,BTED,41
13,BTEU,41.72
14,COH1,49.28
15,COH2,46.56
16,DC1,40.88
17,dDTF,42.32
18,DTF,40.8
19,ffDTF,40.8
20,Genie,41.56
21,GGC,40.36
22,GPDC,40.92
23,hmvar,40.84
24,MVAR,40.88
25,oPDCF,40.52
26,pCOH1,48.56
27,pCOH2,48.56
28,PCohF,50
29,PCohW,0
30,PCorrD,42
31,PCorrU,38.88
32,PDC,40.72
33,PH2D,40.52
34,PH2U,36.72
35,PMITD1,40.88
36,PMITD2,41.08
37,PMITU,36.04
38,PTED,41.12
39,PTEU,41.64
40,Smvar,42.24
41,Tigress,48.28
