,Method_name,Median_across_patients
1,Af,0.71
2,AS,0.72875
3,BCohF,0.846666666666667
4,BCohW,0
5,BCorrD,0.79625
6,BCorrU,0.806666666666667
7,BH2D,0.72625
8,BH2U,0.746666666666666
9,BMITD1,0.72125
10,BMITD2,0.72
11,BMITU,0.68
12,BTED,0.71125
13,BTEU,0.73
14,COH1,0.756666666666667
15,COH2,0.726666666666667
16,DC1,0.715
17,dDTF,0.7275
18,DTF,0.69
19,ffDTF,0.6975
20,Genie,0.8025
21,GGC,0.69
22,GPDC,0.7025
23,hmvar,0.69375
24,MVAR,0.7275
25,oPDCF,0.70125
26,pCOH1,0.74
27,pCOH2,0.74
28,PCohF,0.853333333333333
29,PCohW,0
30,PCorrD,0.80125
31,PCorrU,0.71
32,PDC,0.7025
33,PH2D,0.72875
34,PH2U,0.731666666666667
35,PMITD1,0.7175
36,PMITD2,0.71875
37,PMITU,0.696666666666667
38,PTED,0.7125
39,PTEU,0.73875
40,Smvar,0.72
41,Tigress,0.9
