,Method_name,Sum_of_avg_across_patients
1,Af,40.52
2,AS,40.84
3,BCohF,41.2
4,BCohW,0
5,BCorrD,41.76
6,BCorrU,40.32
7,BH2D,41.08
8,BH2U,37.76
9,BMITD1,40.76
10,BMITD2,40.68
11,BMITU,35.28
12,BTED,40.84
13,BTEU,41.16
14,COH1,37.92
15,COH2,37.28
16,DC1,40.84
17,dDTF,40.92
18,DTF,40.76
19,ffDTF,40.72
20,Genie,41.64
21,GGC,40.64
22,GPDC,40.56
23,hmvar,40.72
24,MVAR,40.76
25,oPDCF,40.68
26,pCOH1,38.16
27,pCOH2,38.16
28,PCohF,41.92
29,PCohW,0
30,PCorrD,41.52
31,PCorrU,36.72
32,PDC,40.6
33,PH2D,40.92
34,PH2U,37.44
35,PMITD1,40.76
36,PMITD2,40.6
37,PMITU,35.6
38,PTED,40.8
39,PTEU,41
40,Smvar,37.12
41,Tigress,44.96
