,Method_name,Median_across_patients
1,Af,0.6125
2,AS,0.64
3,BCohF,0.86
4,BCohW,0
5,BCorrD,0.755
6,BCorrU,0.813333333333333
7,BH2D,0.6475
8,BH2U,0.733333333333333
9,BMITD1,0.6325
10,BMITD2,0.63
11,BMITU,0.666666666666667
12,BTED,0.6125
13,BTEU,0.6375
14,COH1,0.733333333333333
15,COH2,0.706666666666667
16,DC1,0.6025
17,dDTF,0.6475
18,DTF,0.58
19,ffDTF,0.595
20,Genie,0.77
21,GGC,0.58
22,GPDC,0.6025
23,hmvar,0.58
24,MVAR,0.6425
25,oPDCF,0.6025
26,pCOH1,0.72
27,pCOH2,0.72
28,PCohF,0.866666666666667
29,PCohW,0
30,PCorrD,0.77
31,PCorrU,0.693333333333334
32,PDC,0.605
33,PH2D,0.63
34,PH2U,0.706666666666667
35,PMITD1,0.635
36,PMITD2,0.63
37,PMITU,0.673333333333334
38,PTED,0.605
39,PTEU,0.6525
40,Smvar,0.7
41,Tigress,0.8925
