,Method_name,Sum_of_avg_across_patients
1,Af,38.4205
2,AS,38.062
3,BCohF,46.312
4,BCohW,0
5,BCorrD,41.8745
6,BCorrU,46.6
7,BH2D,37.78
8,BH2U,40.192
9,BMITD1,38.102
10,BMITD2,38.137
11,BMITU,34.844
12,BTED,37.7395
13,BTEU,38.3995
14,COH1,43.702
15,COH2,40.308
16,DC1,38.7075
17,dDTF,40.0545
18,DTF,38.421
19,ffDTF,38.447
20,Genie,41.814
21,GGC,37.3125
22,GPDC,38.5955
23,hmvar,38.145
24,MVAR,37.882
25,oPDCF,38.1765
26,pCOH1,41.892
27,pCOH2,41.892
28,PCohF,47.06
29,PCohW,0
30,PCorrD,42.486
31,PCorrU,41
32,PDC,38.3665
33,PH2D,38.089
34,PH2U,38.102
35,PMITD1,38.269
36,PMITD2,38.256
37,PMITU,35.472
38,PTED,38.0145
39,PTEU,38.329
40,Smvar,40.086
41,Tigress,47.886
