,Method_name,Sum_of_avg_across_patients
1,Af,44.61
2,AS,44.52
3,BCohF,41.58
4,BCohW,0
5,BCorrD,44.86
6,BCorrU,41.28
7,BH2D,44.57
8,BH2U,39.72
9,BMITD1,44.6
10,BMITD2,44.57
11,BMITU,39.38
12,BTED,44.59
13,BTEU,44.68
14,COH1,40.34
15,COH2,40.42
16,DC1,44.56
17,dDTF,44.6
18,DTF,44.55
19,ffDTF,44.56
20,Genie,44.7
21,GGC,44.5
22,GPDC,44.58
23,hmvar,44.56
24,MVAR,44.57
25,oPDCF,44.57
26,pCOH1,40
27,pCOH2,40
28,PCohF,41.54
29,PCohW,0
30,PCorrD,44.6
31,PCorrU,39.5
32,PDC,44.56
33,PH2D,44.55
34,PH2U,39.28
35,PMITD1,44.59
36,PMITD2,44.61
37,PMITU,39.44
38,PTED,44.61
39,PTEU,44.67
40,Smvar,39.87
41,Tigress,44.87
