,Method_name,Sum_of_avg_across_patients
1,Af,31.795
2,AS,32.215
3,BCohF,46.3733333333333
4,BCohW,0
5,BCorrD,41.275
6,BCorrU,45.6266666666667
7,BH2D,32.35
8,BH2U,38.28
9,BMITD1,31.31
10,BMITD2,31.15
11,BMITU,33.3733333333333
12,BTED,31.22
13,BTEU,32.93
14,COH1,41.9466666666667
15,COH2,37.44
16,DC1,31.835
17,dDTF,35.145
18,DTF,32.03
19,ffDTF,32.13
20,Genie,41.06
21,GGC,30.595
22,GPDC,31.485
23,hmvar,32.03
24,MVAR,32.065
25,oPDCF,31.535
26,pCOH1,39.2266666666667
27,pCOH2,39.2266666666667
28,PCohF,46.9466666666667
29,PCohW,0
30,PCorrD,42.26
31,PCorrU,37.8533333333333
32,PDC,31.58
33,PH2D,31.95
34,PH2U,36.98
35,PMITD1,31.96
36,PMITD2,31.81
37,PMITU,34.1866666666667
38,PTED,31.545
39,PTEU,32.94
40,Smvar,39.3933333333333
41,Tigress,48.435
