,Method_name,Sum_of_avg_across_patients
1,Af,36.2775
2,AS,36.7075
3,BCohF,45.9066666666667
4,BCohW,0
5,BCorrD,41.7775
6,BCorrU,45.1733333333333
7,BH2D,36.575
8,BH2U,38.82
9,BMITD1,36.015
10,BMITD2,35.915
11,BMITU,34.3266666666667
12,BTED,36.05
13,BTEU,36.985
14,COH1,41.7333333333333
15,COH2,38.12
16,DC1,36.4775
17,dDTF,38.4525
18,DTF,36.515
19,ffDTF,36.585
20,Genie,41.43
21,GGC,35.6175
22,GPDC,36.2225
23,hmvar,36.555
24,MVAR,36.5325
25,oPDCF,36.1075
26,pCOH1,39.5333333333333
27,pCOH2,39.5333333333333
28,PCohF,46.6733333333333
29,PCohW,0
30,PCorrD,42.47
31,PCorrU,38.2866666666667
32,PDC,36.15
33,PH2D,36.435
34,PH2U,37.65
35,PMITD1,36.3
36,PMITD2,36.165
37,PMITU,35.0533333333333
38,PTED,36.2925
39,PTEU,37.05
40,Smvar,39.5766666666667
41,Tigress,48.0375
