,Method_name,Median_across_patients
1,Af,0.6375
2,AS,0.6575
3,BCohF,0.933333333333333
4,BCohW,0
5,BCorrD,0.8275
6,BCorrU,0.92
7,BH2D,0.655
8,BH2U,0.766666666666666
9,BMITD1,0.6325
10,BMITD2,0.625
11,BMITU,0.666666666666667
12,BTED,0.62
13,BTEU,0.66
14,COH1,0.86
15,COH2,0.74
16,DC1,0.6275
17,dDTF,0.715
18,DTF,0.6525
19,ffDTF,0.6575
20,Genie,0.83
21,GGC,0.6075
22,GPDC,0.62
23,hmvar,0.68
24,MVAR,0.64
25,oPDCF,0.6375
26,pCOH1,0.786666666666667
27,pCOH2,0.786666666666667
28,PCohF,0.946666666666667
29,PCohW,0
30,PCorrD,0.85
31,PCorrU,0.76
32,PDC,0.6425
33,PH2D,0.64
34,PH2U,0.72
35,PMITD1,0.6425
36,PMITD2,0.645
37,PMITU,0.68
38,PTED,0.6275
39,PTEU,0.675
40,Smvar,0.786666666666667
41,Tigress,0.97
