,Method_name,Sum_of_avg_across_patients
1,Af,40.6
2,AS,40.72
3,BCohF,46.16
4,BCohW,0
5,BCorrD,42.36
6,BCorrU,44.64
7,BH2D,40.6
8,BH2U,38.64
9,BMITD1,40.56
10,BMITD2,40.52
11,BMITU,34.48
12,BTED,40.8
13,BTEU,41.24
14,COH1,41.44
15,COH2,38.8
16,DC1,40.76
17,dDTF,41.36
18,DTF,40.64
19,ffDTF,40.56
20,Genie,41.72
21,GGC,40.24
22,GPDC,40.72
23,hmvar,40.52
24,MVAR,40.52
25,oPDCF,40.8
26,pCOH1,40.72
27,pCOH2,40.72
28,PCohF,46.96
29,PCohW,0
30,PCorrD,42.24
31,PCorrU,38.56
32,PDC,40.64
33,PH2D,40.76
34,PH2U,37.52
35,PMITD1,40.64
36,PMITD2,40.68
37,PMITU,35.68
38,PTED,40.76
39,PTEU,41
40,Smvar,39.36
41,Tigress,44.6
