,Method_name,Median_across_patients
1,BCohF,0.856
2,BCorrU,0.856
3,BF_BCmean,0.828
4,BF_BCmedian,0.822
5,BF_PF_BCmean,0.834
6,BF_PF_BCmedian,0.822
7,BF_PFmean,0.84
8,BF_PFmedian,0.8295
9,PCohF,1
10,PF_BCmean,0.84
11,PF_BCmedian,0.834
12,T_BCmean,0.96225
13,T_BCmedian,0.9615
14,T_BF_BCmean,0.94
15,T_BF_BCmedian,0.8845
16,T_BF_PF_BCmean,0.9245
17,T_BF_PF_BCmedian,0.89125
18,T_BF_PFmean,0.93125
19,T_BF_PFmedian,0.8905
20,T_BFmean,0.96
21,T_BFmedian,0.945
22,T_PF_BCmean,0.935
23,T_PF_BCmedian,0.92825
24,T_PFmean,0.96375
25,T_PFmedian,0.93775
26,Tigress,0.96
